Rank,Account,Status,Country,Staked pct,EOS Staked Jump,Reward,Votes,Votes diff. with contender,Jump in votes
1,okcapitalbp1,Top 21,China,2.83%,"296,362,432 +4,711,533",1001.0576,296362432,"18,579,424","4,711,533"
2,big.one,Top 21,China,2.65%,"277,783,008 +8,907,163",958.8128,277783008,"4,379,651","8,907,163"
3,eosiomeetone,Top 21,Singapore,2.61%,"273,403,357 +37,710,040",948.8546,273403357,"4,828,104","37,710,040"
4,eoslaomaocom,Top 21,Japan,2.57%,"268,575,253 +8,365,381",937.8768,268575253,"8,386,456","8,365,381"
5,eoshuobipool,Top 21,China,2.49%,"260,188,797 +18,129,162",918.8082,260188797,"4,523,118","18,129,162"
6,eoseouldotio,Top 21,South Korea,2.44%,"255,665,679 +22,455,010",908.5238,255665679,"3,248,695","22,455,010"
7,eosinfstones,Top 21,United States,2.41%,"252,416,984 +16,765,360",901.1371,252416984,"1,927,287","16,765,360"
8,helloeoscnbp,Top 21,China,2.39%,"250,489,697 +22,480,452",896.755,250489697,"6,530,534","22,480,452"
9,eosflytomars,Top 21,China,2.33%,"243,959,163 +15,861,815",881.9062,243959163,"1,406,321","15,861,815"
10,eosasia11111,Top 21,Cayman Islands,2.32%,"242,552,842 +2,650,926",878.7086,242552842,"426,291","2,650,926"
11,bitfinexeos1,Top 21,BVI,2.31%,"242,126,551 +2,680,419",877.7394,242126551,"76,017","2,680,419"
12,whaleex.com,Top 21,Singapore,2.31%,"242,050,534 +6,586,050",877.5665,242050534,"1,675,979","6,586,050"
13,cochainworld,Top 21,China,2.30%,"240,374,555 +8,039,234",873.7558,240374555,"1,207,755","8,039,234"
14,zbeosbp11111,Top 21,China,2.28%,"239,166,800 +11,889,046",871.0097,239166800,"14,009","11,889,046"
15,eosdotwikibp,Top 21,Cayman Islands,2.28%,"239,152,791 +15,136,618",870.9778,239152791,"70,976","15,136,618"
16,newdex.bp,Top 21,Cayman Islands,2.28%,"239,081,815 +3,192,211",870.8164,239081815,"1,758,252","3,192,211"
17,eosiosg11111,Top 21,Singapore,2.27%,"237,323,563 +8,424,081",866.8186,237323563,"1,070,973","8,424,081"
18,eoslambdacom,Top 21,China,2.26%,"236,252,590 +1,533,644",864.3835,236252590,"206,558","1,533,644"
19,starteosiobp,Top 21,China,2.25%,"236,046,032 +5,988,352",863.9139,236046032,"1,433,773","5,988,352"
20,atticlabeosb,Top 21,Ukraine,2.24%,"234,612,259 +18,848,509",860.6538,234612259,"1,836,934","18,848,509"
21,eosbeijingbp,producing,China,2.22%,"232,775,325 +7,468,936",856.4771,232775325,"180,135","7,468,936"
22,eosrapidprod,Standby,United States,2.22%,"232,595,190 +5,416,036",528.8606,232595190,"1,235,608","5,416,036"
23,slowmistiobp,Standby,China,2.21%,"231,359,582 +2,740,612",526.0511,231359582,"20,223,039","2,740,612"
24,hoo.com,Standby,Singapore,2.02%,"211,136,543 -1,360,640",480.0692,211136543,"5,023,872","-1,360,640"
25,koreainbexbp,Standby,South Korea,1.97%,"206,112,671 +8,443,578",468.6462,206112671,"6,145,233","8,443,578"
26,eoscannonchn,Standby,China,1.91%,"199,967,438 +14,910,126",454.6736,199967438,"20,218,194","14,910,126"
27,eossv12eossv,Standby,Cayman Islands,1.72%,"179,749,244 +2,142,852",408.7027,179749244,"9,571,280","2,142,852"
28,hashfineosio,Standby,,1.63%,"170,177,964 +78,071,962",386.9401,170177964,"2,382,131","78,071,962"
29,certikeosorg,Standby,United States,1.60%,"167,795,833 -13,844,555",381.5238,167795833,"39,079,746","-13,844,555"
30,blockpooleos,Standby,,1.23%,"128,716,087 +52,470,601",292.6667,128716087,"24,741,679","52,470,601"
31,bitwireeosbp,Standby,Singapore,0.99%,"103,974,408 -23,767,287",236.4106,103974408,"5,573,899","-23,767,287"
32,eoscafeblock,Standby,Canada,0.94%,"98,400,509 +148,740",223.737,98400509,"3,897,141","148,740"
33,eosnewyorkio,Standby,Cook Islands,0.90%,"94,503,368 -50,943",214.8759,94503368,"277,800","-50,943"
34,eosauthority,Standby,United Kingdom,0.90%,"94,225,568 -54,017",214.2443,94225568,"1,521,288","-54,017"
35,eoscanadacom,Standby,Canada,0.89%,"92,704,280 -42,136",210.7853,92704280,"5,877,486","-42,136"
36,eosnationftw,Standby,Canada,0.83%,"86,826,794 -3,733,975",197.4214,86826794,"2,270,965","-3,733,975"
37,eosswedenorg,Standby,Sweden,0.81%,"84,555,829 -1,050,994",192.2578,84555829,"1,961,665","-1,050,994"
38,eos42freedom,Standby,Cayman Islands,0.79%,"82,594,164 -78,403",187.7975,82594164,"2,991,209","-78,403"
39,eos.fish,Standby,,0.76%,"79,602,955 -2,708,288",180.9963,79602955,"56,909","-2,708,288"
40,eosedubpbest,Standby,Seychelles,0.76%,"79,546,046 -1,274,190",180.8669,79546046,"4,250,284","-1,274,190"
41,argentinaeos,Standby,Argentina,0.72%,"75,295,762 -1,203,298",171.2028,75295762,"7,296,801","-1,203,298"
42,eosfengwocom,Standby,Cayman Islands,0.65%,"67,998,961 -3,160,285",154.6118,67998961,"1,257,269","-3,160,285"
43,cypherglasss,Standby,United States,0.64%,"66,741,692 -89,515",151.7531,66741692,"2,709,724","-89,515"
44,ecoboost1111,Standby,Viet Nam,0.61%,"64,031,968 +133,647",145.5919,64031968,"1,675,585","133,647"
45,moreisfuture,Standby,,0.60%,"62,356,383 -3,757,512",141.7821,62356383,"456,204","-3,757,512"
46,geosoneforbp,Standby,,0.59%,"61,900,179 +211,555",140.7448,61900179,"1,914,788","211,555"
47,stargalaxybp,Standby,,0.57%,"59,985,391 -3,603,768",136.3911,59985391,"2,097,819","-3,603,768"
48,eoszhizhutop,Standby,China,0.55%,"57,887,572 -3,844,817",131.6212,57887572,"2,895,491","-3,844,817"
49,acroeos12345,Standby,South Korea,0.53%,"54,992,081 +250,083",125.0376,54992081,"190,976","250,083"
50,eossnzpoolbp,Standby,,0.52%,"54,801,105 +7,557,576",124.6034,54801105,"437,339","7,557,576"
51,jrrcryptoeos,Standby,,0.52%,"54,363,766 +2,509,290",123.609,54363766,"211,955","2,509,290"
52,eosnairobike,Standby,Kenya,0.52%,"54,151,811 -6,966,254",123.127,54151811,"859,157","-6,966,254"
53,jedaaaaaaaaa,Standby,Japan,0.51%,"53,292,654 -6,151,793",121.1735,53292654,"637,116","-6,151,793"
54,libertyblock,Standby,Canada,0.50%,"52,655,538 +284",119.7249,52655538,"167,427",284
55,hexlantttttt,Standby,South Korea,0.50%,"52,488,111 +186,805",119.3442,52488111,"618,026","186,805"
56,eosdacserver,Standby,United Kingdom,0.50%,"51,870,085 +6,711",117.939,51870085,"373,984","6,711"
57,eosunioniobp,Standby,,0.49%,"51,496,101 +1,403,651",117.0886,51496101,"136,877","1,403,651"
58,eosathenabp1,Standby,,0.49%,"51,359,224 -2,704,097",116.7774,51359224,"85,115","-2,704,097"
59,eosliquideos,Standby,Israel,0.49%,"51,274,109 -3,840,293",116.5839,51274109,"123,976","-3,840,293"
60,dapppub.bp,Standby,Singapore,0.49%,"51,150,133 -2,775,992",116.302,51150133,"2,238","-2,775,992"
