Rank;Account;Status;Country;Staked pct;EOS Staked Jump;Reward;Votes;Votes diff. with contender;Jump in votes
"1;okcapitalbp1;Top 21;China;0.0283;296,362,432 +4,711,533;1001.0576;296362432;18579424;4711533"
"2;big.one;Top 21;China;0.0265;277,783,008 +8,907,163;958.8128;277783008;4379651;8907163"
"3;eosiomeetone;Top 21;Singapore;0.0261;273,403,357 +37,710,040;948.8546;273403357;4828104;37710040"
"4;eoslaomaocom;Top 21;Japan;0.0257;268,575,253 +8,365,381;937.8768;268575253;8386456;8365381"
"5;eoshuobipool;Top 21;China;0.0249;260,188,797 +18,129,162;918.8082;260188797;4523118;18129162"
"6;eoseouldotio;Top 21;South Korea;0.0244;255,665,679 +22,455,010;908.5238;255665679;3248695;22455010"
"7;eosinfstones;Top 21;United States;0.0241;252,416,984 +16,765,360;901.1371;252416984;1927287;16765360"
"8;helloeoscnbp;Top 21;China;0.0239;250,489,697 +22,480,452;896.755;250489697;6530534;22480452"
"9;eosflytomars;Top 21;China;0.0233;243,959,163 +15,861,815;881.9062;243959163;1406321;15861815"
"10;eosasia11111;Top 21;Cayman Islands;0.0232;242,552,842 +2,650,926;878.7086;242552842;426291;2650926"
"11;bitfinexeos1;Top 21;BVI;0.0231;242,126,551 +2,680,419;877.7394;242126551;76017;2680419"
"12;whaleex.com;Top 21;Singapore;0.0231;242,050,534 +6,586,050;877.5665;242050534;1675979;6586050"
"13;cochainworld;Top 21;China;0.023;240,374,555 +8,039,234;873.7558;240374555;1207755;8039234"
"14;zbeosbp11111;Top 21;China;0.0228;239,166,800 +11,889,046;871.0097;239166800;14009;11889046"
"15;eosdotwikibp;Top 21;Cayman Islands;0.0228;239,152,791 +15,136,618;870.9778;239152791;70976;15136618"
"16;newdex.bp;Top 21;Cayman Islands;0.0228;239,081,815 +3,192,211;870.8164;239081815;1758252;3192211"
"17;eosiosg11111;Top 21;Singapore;0.0227;237,323,563 +8,424,081;866.8186;237323563;1070973;8424081"
"18;eoslambdacom;Top 21;China;0.0226;236,252,590 +1,533,644;864.3835;236252590;206558;1533644"
"19;starteosiobp;Top 21;China;0.0225;236,046,032 +5,988,352;863.9139;236046032;1433773;5988352"
"20;atticlabeosb;Top 21;Ukraine;0.0224;234,612,259 +18,848,509;860.6538;234612259;1836934;18848509"
"21;eosbeijingbp;producing;China;0.0222;232,775,325 +7,468,936;856.4771;232775325;180135;7468936"
"22;eosrapidprod;Standby;United States;0.0222;232,595,190 +5,416,036;528.8606;232595190;1235608;5416036"
"23;slowmistiobp;Standby;China;0.0221;231,359,582 +2,740,612;526.0511;231359582;20223039;2740612"
"24;hoo.com;Standby;Singapore;0.0202;211,136,543 -1,360,640;480.0692;211136543;5023872;-1360640"
"25;koreainbexbp;Standby;South Korea;0.0197;206,112,671 +8,443,578;468.6462;206112671;6145233;8443578"
"26;eoscannonchn;Standby;China;0.0191;199,967,438 +14,910,126;454.6736;199967438;20218194;14910126"
"27;eossv12eossv;Standby;Cayman Islands;0.0172;179,749,244 +2,142,852;408.7027;179749244;9571280;2142852"
"28;hashfineosio;Standby;;0.0163;170,177,964 +78,071,962;386.9401;170177964;2382131;78071962"
"29;certikeosorg;Standby;United States;0.016;167,795,833 -13,844,555;381.5238;167795833;39079746;-13844555"
"30;blockpooleos;Standby;;0.0123;128,716,087 +52,470,601;292.6667;128716087;24741679;52470601"
"31;bitwireeosbp;Standby;Singapore;0.0099;103,974,408 -23,767,287;236.4106;103974408;5573899;-23767287"
"32;eoscafeblock;Standby;Canada;0.0094;98,400,509 +148,740;223.737;98400509;3897141;148740"
"33;eosnewyorkio;Standby;Cook Islands;0.009;94,503,368 -50,943;214.8759;94503368;277800;-50943"
"34;eosauthority;Standby;United Kingdom;0.009;94,225,568 -54,017;214.2443;94225568;1521288;-54017"
"35;eoscanadacom;Standby;Canada;0.0089;92,704,280 -42,136;210.7853;92704280;5877486;-42136"
"36;eosnationftw;Standby;Canada;0.0083;86,826,794 -3,733,975;197.4214;86826794;2270965;-3733975"
"37;eosswedenorg;Standby;Sweden;0.0081;84,555,829 -1,050,994;192.2578;84555829;1961665;-1050994"
"38;eos42freedom;Standby;Cayman Islands;0.0079;82,594,164 -78,403;187.7975;82594164;2991209;-78403"
"39;eos.fish;Standby;;0.0076;79,602,955 -2,708,288;180.9963;79602955;56909;-2708288"
"40;eosedubpbest;Standby;Seychelles;0.0076;79,546,046 -1,274,190;180.8669;79546046;4250284;-1274190"
"41;argentinaeos;Standby;Argentina;0.0072;75,295,762 -1,203,298;171.2028;75295762;7296801;-1203298"
"42;eosfengwocom;Standby;Cayman Islands;0.0065;67,998,961 -3,160,285;154.6118;67998961;1257269;-3160285"
"43;cypherglasss;Standby;United States;0.0064;66,741,692 -89,515;151.7531;66741692;2709724;-89515"
"44;ecoboost1111;Standby;Viet Nam;0.0061;64,031,968 +133,647;145.5919;64031968;1675585;133647"
"45;moreisfuture;Standby;;0.006;62,356,383 -3,757,512;141.7821;62356383;456204;-3757512"
"46;geosoneforbp;Standby;;0.0059;61,900,179 +211,555;140.7448;61900179;1914788;211555"
"47;stargalaxybp;Standby;;0.0057;59,985,391 -3,603,768;136.3911;59985391;2097819;-3603768"
"48;eoszhizhutop;Standby;China;0.0055;57,887,572 -3,844,817;131.6212;57887572;2895491;-3844817"
"49;acroeos12345;Standby;South Korea;0.0053;54,992,081 +250,083;125.0376;54992081;190976;250083"
"50;eossnzpoolbp;Standby;;0.0052;54,801,105 +7,557,576;124.6034;54801105;437339;7557576"
"51;jrrcryptoeos;Standby;;0.0052;54,363,766 +2,509,290;123.609;54363766;211955;2509290"
"52;eosnairobike;Standby;Kenya;0.0052;54,151,811 -6,966,254;123.127;54151811;859157;-6966254"
"53;jedaaaaaaaaa;Standby;Japan;0.0051;53,292,654 -6,151,793;121.1735;53292654;637116;-6151793"
"54;libertyblock;Standby;Canada;0.005;52,655,538 +284;119.7249;52655538;167427;284"
"55;hexlantttttt;Standby;South Korea;0.005;52,488,111 +186,805;119.3442;52488111;618026;186805"
"56;eosdacserver;Standby;United Kingdom;0.005;51,870,085 +6,711;117.939;51870085;373984;6711"
"57;eosunioniobp;Standby;;0.0049;51,496,101 +1,403,651;117.0886;51496101;136877;1403651"
"58;eosathenabp1;Standby;;0.0049;51,359,224 -2,704,097;116.7774;51359224;85115;-2704097"
"59;eosliquideos;Standby;Israel;0.0049;51,274,109 -3,840,293;116.5839;51274109;123976;-3840293"
"60;dapppub.bp;Standby;Singapore;0.0049;51,150,133 -2,775,992;116.302;51150133;2238;-2775992"
"61;dexeosbpnode;Standby;South Korea;0.0049;51,147,895 +395,546;116.2969;51147895;392456;395546"
"62;eosrainbowbp;Standby;;0.0049;50,755,439 +410,612;115.4046;50755439;166608;410612"
"63;eoszeusiobp1;Standby;;0.0048;50,588,831 +1,009,879;115.0258;50588831;457494;1009879"
"64;eosriobrazil;Standby;Brazil;0.0048;50,131,337 +1,821,638;113.9855;50131337;232558;1821638"
"65;teamgreymass;Standby;Canada;0.0048;49,898,779 -66,096;113.4568;49898779;706461;-66096"
"66;superoneiobp;Standby;China;0.0047;49,192,318 -207,740;111.8504;49192318;145658;-207740"
"67;eoshenzhenio;Standby;;0.0047;49,046,660 -418,172;111.5193;49046660;55757;-418172"
"68;alohaeosprod;Standby;United States;0.0047;48,990,903 -39,560;111.3925;48990903;657354;-39560"
"69;validatoreos;Standby;;0.0046;48,333,549 +48,333,549;109.8978;48333549;775540;48333549"
"70;cryptolions1;Standby;Ukraine;0.0045;47,558,009 +1,952,345;108.1345;47558009;685876;1952345"
"71;eostitanprod;Standby;Bulgaria;0.0045;46,872,133 -41,206;106.575;46872133;14200;-41206"
"72;eoscleanerbp;Standby;Hong Kong;0.0045;46,857,933 +3,533,331;106.5427;46857933;1155701;3533331"
"73;itokenpocket;Standby;Singapore;0.0044;45,702,232 +29,372;103.9149;45702232;2607770;29372"
"74;unlimitedeos;Standby;;0.0041;43,094,462 +1,995,791;0;43094462;858488;1995791"
"75;eosnodeonebp;Standby;South Korea;0.004;42,235,974 -60,648;0;42235974;93521;-60648"
"76;aus1genereos;Standby;Australia;0.004;42,142,453 +1,977,352;0;42142453;141574;1977352"
"77;eosphereiobp;Standby;Australia;0.004;42,000,879 -91,827;0;42000879;35509;-91827"
"78;eossiriussbp;Standby;Taiwan;0.004;41,965,370 -1,722,794;0;41965370;1469986;-1722794"
"79;moonxwitheos;Standby;India;0.0039;40,495,384 -5,543,878;0;40495384;1924625;-5543878"
"80;eosbixinboot;Standby;Thailand;0.0037;38,570,759 +1,889,280;0;38570759;3042239;1889280"
"81;blocksmithio;Standby;Panama;0.0034;35,528,520 -468,079;0;35528520;749877;-468079"
"82;eosdublinwow;Standby;Ireland;0.0033;34,778,643 -15,584;0;34778643;97651;-15584"
"83;sheos21sheos;Standby;Spain;0.0033;34,680,992 +1,953,039;0;34680992;3295565;1953039"
"84;oraclegogogo;Standby;China;0.003;31,385,427 +1,958,094;0;31385427;253492;1958094"
"85;hkeoshkeosbp;Standby;Hong Kong;0.003;31,131,935 +1,996,156;0;31131935;5583246;1996156"
"86;eosisgravity;Standby;China;0.0024;25,548,689 +1,349,497;0;25548689;212198;1349497"
"87;tokenika4eos;Standby;Poland;0.0024;25,336,491 +398,777;0;25336491;289297;398777"
"88;paytomateosp;Standby;Estonia;0.0024;25,047,194 -20,272,285;0;25047194;583740;-20272285"
"89;eosamsterdam;Standby;Netherlands;0.0023;24,463,454 -1,082,519;0;24463454;846555;-1082519"
"90;dilidilifans;Standby;Singapore;0.0023;23,616,899 -29,443,731;0;23616899;2812827;-29443731"
"91;eosiodetroit;Standby;United States;0.002;20,804,072 -7,575,997;0;20804072;1322606;-7575997"
"92;eostribeprod;Standby;United States;0.0019;19,481,466 +1,956,533;0;19481466;1699884;1956533"
"93;eosyskoreabp;Standby;South Korea;0.0017;17,781,582 +2,325;0;17781582;97654;2325"
"94;blockmatrix1;Standby;United Kingdom;0.0017;17,683,928 +2,009,404;0;17683928;2736335;2009404"
"95;eosvibesbloc;Standby;France;0.0014;14,947,593 -259,623;0;14947593;105418;-259623"
"96;eosflareiobp;Standby;United States;0.0014;14,842,175 -12,187;0;14842175;308565;-12187"
"97;chainriftxxx;Standby;Slovenia;0.0014;14,533,610 -5,904;0;14533610;3413944;-5904"
"98;eosvenezuela;Standby;Venezuela;0.0011;11,119,666 -961,391;0;11119666;30177;-961391"
99;vote4scatter;Standby;Malta;0.0011;11089489;0;11089489;5217021;0
"100;eosmotioneos;Standby;;0.0006;5,872,468 +55,549;0;5872468;5872468;55549"
