elector;nuts;vote_json
"eosdtholder3;3;{""eosdtbpproxy.producers"":[""eoscanadacom"",""eosnewyorkio"",""eosnationftw"",""eos42freedom"",""eosauthority""]}"
"eosdtholder1;2;{""eosdtbpproxy.producers"":[""eoscanadacom"",""atticlabeosb""]}"
"eosdtnutstor;4;{""eosdtbpproxy.producers"":[""atticlabeosb""]}"
"guytgnzxnaka;90.558;{""eosdtbpproxy.producers"":[""newdex.bp"",""eosnationftw""]}"
"eosdtmakerag;2;{""eosdtbpproxy.producers"":[""alohaeosprod"",""paytomateosp"",""moonxwitheos"",""ecoboost1111"",""eosinfstones""]}"
"uzitenenbaum;37;{""eosdtbpproxy.producers"":[""eostitanprod"",""eosphereiobp"",""teamgreymass"",""alohaeosprod"",""eosnewyorkio""]}"
"systemzaxeos;15;{""eosdtbpproxy.producers"":[""alohaeosprod"",""atticlabeosb"",""eostitanprod"",""eoscanadacom"",""eoscafeblock""]}"
"eoscafetrade;50;{""eosdtbpproxy.producers"":[""eosiomeetone"",""eoscannonchn"",""eosnationftw"",""hkeoshkeosbp"",""eosnodeonebp""]}"
"marketrelays;41.2236;{""eosdtbpproxy.producers"":[""eosnodeonebp"",""eoscafeblock"",""eosnationftw"",""eoscannonchn"",""eosiodetroit""]}"
"gnomaldtrump;52;{""eosdtbpproxy.producers"":[""eosiomeetone"",""eoscafeblock"",""eostitanprod"",""alohaeosprod""]}"
"hodlhodlhodl;30;{""eosdtbpproxy.producers"":[""eosphereiobp"",""eosnationftw"",""eoscannonchn"",""eoscafeblock"",""eosiodetroit""]}"
"meetonedapp5;2;{""eosdtbpproxy.producers"":[""eosiomeetone"",""atticlabeosb""]}"
"gmzdombwguge;16.0285;{""eosdtbpproxy.producers"":[""eosnationftw"",""eosphereiobp"",""eosnodeonebp"",""eosiodetroit"",""eoscafeblock""]}"
"testkauffman;4.0066;{""eosdtbpproxy.producers"":[""eoscanadacom""]}"
"newdexminion;50;{""eosdtbpproxy.producers"":[]}"
"cafetradebot;50;{""eosdtbpproxy.producers"":[""eoscannonchn"",""eosnodeonebp"",""hkeoshkeosbp"",""eosnationftw"",""eosiomeetone""]}"
"emanatemusic;16.8999;{""eosdtbpproxy.producers"":[""hkeoshkeosbp"",""eosnationftw"",""eosiodetroit"",""eosnodeonebp"",""eosphereiobp""]}"
"gnbuwypzgrwg;6;{""eosdtbpproxy.producers"":[""eostitanprod"",""eosnationftw"",""eosphereiobp"",""eosnewyorkio"",""teamgreymass""]}"
"guytgnzxg4ge;20;{""eosdtbpproxy.producers"":[""eosnationftw"",""eosdotwikibp"",""whaleex.com"",""hoo.com"",""cochainworld""]}"
"guztqnrsgqge;15;{""eosdtbpproxy.producers"":[""eosnationftw"",""eosswedenorg"",""eosnairobike"",""jedaaaaaaaaa"",""libertyblock""]}"
"emanatemagic;11.2413;{""eosdtbpproxy.producers"":[""argentinaeos"",""atticlabeosb"",""alohaeosprod"",""eosphereiobp"",""hkeoshkeosbp""]}"
"eosiodetroit;85.9413;{""eosdtbpproxy.producers"":[""eosphereiobp"",""eosnodeonebp"",""eoscafeblock"",""eosnationftw"",""eosiodetroit""]}"
